reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0e08d06e-20da-482b-b4ea-7f57ccccd2b5,Rioaldo,https://play-lh.googleusercontent.com/a/ACg8oc...,Aplikasi Agrolyn sangat membantu untuk menemukan informasi pertanian yang tepat!,5,10,1.0.0,2024-10-03 07:52:45,None,NaT,1.0.0
07690444-986c-4190-b61a-b574e4a42f96,Waqintin,https://play-lh.googleusercontent.com/a-/ALV-U...,Fitur forum perlu lebih banyak moderator untuk menjaga kualitas diskusi.,2,15,1.0.0,2024-10-03 07:51:17,None,NaT,1.0.0
d8914636-d950-4626-bf2c-6bea06f49fdf,Waeng,https://play-lh.googleusercontent.com/a-/ALV-U...,Fitur deteksi penyakit tanaman sangat membantu dalam perawatan tanaman saya.,5,8,1.0.0,2024-10-03 07:48:00,None,NaT,1.0.0
83126f89-aabf-40c3-b23d-c8b223ce8ceb,Fian,https://play-lh.googleusercontent.com/a/ACg8oc...,Aplikasi ini lambat saat membuka halaman marketplace.,1,12,1.0.0,2024-10-03 07:44:06,None,NaT,1.0.0
68f422e5-a92f-40bc-ace0-af139f3ecfd4,Sahdu ,https://play-lh.googleusercontent.com/a-/ALV-U...,Banyak artikel yang bermanfaat dan mudah dipahami.,4,20,1.0.0,2024-10-03 07:43:49,None,NaT,1.0.0
e35b2f7e-2dbf-4f09-8df0-458ab2767a99,Budi Darmawan,https://play-lh.googleusercontent.com/a-/ALV-U...,"Proses pendaftaran cukup rumit, perlu perbaikan.",2,18,1.0.0,2024-10-03 07:40:30,None,NaT,1.0.0
a4cbb930-7a7e-4658-9446-bcf8568a7a3b,Melinda,https://play-lh.googleusercontent.com/a-/ALV-U...,Saya tidak menemukan informasi yang relevan di forum.,1,25,1.0.0,2024-10-03 07:39:14,None,NaT,1.0.0
7d819244-52d4-451b-b8e4-fd56872cdee3,Dedi ,https://play-lh.googleusercontent.com/a-/ALV-U...,"Sangat senang menggunakan Agrolyn, fitur-fiturnya sangat berguna.",5,13,1.0.0,2024-10-03 07:38:00,None,NaT,1.0.0
f11369b1-329f-4c77-812d-2e12b4735422,Wahyuni,https://play-lh.googleusercontent.com/a-/ALV-U...,Fitur notifikasi seringkali terlambat.,2,16,1.0.0,2024-10-03 07:37:30,None,NaT,1.0.0
0e08d06e-20da-482b-b4ea-7f57ccccd2b5,Rio Naldo,https://play-lh.googleusercontent.com/a/ACg8oc...,Aplikasi Agrolyn mengubah cara saya berbisnis dalam pertanian.,5,10,1.0.0,2024-10-03 07:52:45,None,NaT,1.0.0
